titulo,url
"Acrisolar la lealtad a la vista del rigor por fama, padre, y amor: Cosdroas y Siroe","https://etso.es/informes/analisis-estilometrico-acrisolar-la-lealtad-la-vista-del-rigor-por-fama-padre-y-amor"
"Acteón y Diana","https://etso.es/informes/analisis-estilometrico-acteon-y-diana"
"Adonis y Venus","https://etso.es/informes/analisis-estilometrico-adonis-y-venus-0"
"Adonis y Venus","https://etso.es/informes/analisis-estilometrico-adonis-y-venus"
"Adúltera castigada, La","https://etso.es/informes/analisis-estilometrico-la-adultera-castigada"
"Adúltera penitente, Santa Teodora, La","https://etso.es/informes/analisis-estilometrico-la-adultera-penitente-santa-teodora"
"Adúltera perdonada, La","https://etso.es/informes/analisis-estilometrico-la-adultera-perdonada"
"Adúltera virtuosa, La","https://etso.es/informes/analisis-estilometrico-la-adultera-virtuosa"
"Adversa fortuna de don Álvaro de Luna, La","https://etso.es/informes/analisis-estilometrico-la-adversa-fortuna-de-don-alvaro-de-luna"
"Adversa fortuna de don Bernardo de Cabrera, La","https://etso.es/informes/analisis-estilometrico-la-adversa-fortuna-de-don-bernardo-de-cabrera"
"Adversa fortuna del Caballero del Espíritu Santo, La","https://etso.es/informes/analisis-estilometrico-la-adversa-fortuna-del-caballero-del-espiritu-santo"
"Adversa fortuna del muy noble caballero Ruy López de Ávalos el Bueno, La","https://etso.es/informes/analisis-estilometrico-la-adversa-fortuna-del-muy-noble-caballero-ruy-lopez-de-avalos-el"
"Afanador de Utrera, El","https://etso.es/informes/analisis-estilometrico-el-afanador-de-utrera"
"Afectos de odio y amor","https://etso.es/informes/analisis-estilometrico-afectos-de-odio-y-amor"
"Agradecer y no amar","https://etso.es/informes/analisis-estilometrico-agradecer-y-no-amar"
"Agravio agradecido, El","https://etso.es/informes/analisis-estilometrico-el-agravio-agradecido"
"Agravio satisfecho, El","https://etso.es/informes/analisis-estilometrico-el-agravio-satisfecho"
"Agravios castigados, Los","https://etso.es/informes/analisis-estilometrico-los-agravios-castigados"
"Agravios perdonados, Los","https://etso.es/informes/analisis-estilometrico-los-agravios-perdonados"
"Agravios satisfechos del Desengaño y la Muerte, Los","https://etso.es/informes/analisis-estilometrico-los-agravios-satisfechos-del-desengano-y-la-muerte"
"Agua de mejor vida, El","https://etso.es/informes/analisis-estilometrico-el-agua-de-mejor-vida"
"Aguador, El","https://etso.es/informes/analisis-estilometrico-el-aguador"
"Águila de la iglesia, El","https://etso.es/informes/analisis-estilometrico-el-aguila-de-la-iglesia"
"Águila del agua, El","https://etso.es/informes/analisis-estilometrico-el-aguila-del-agua"
"Águilas de Oriente y mártires de Vitesco, Las","https://etso.es/informes/analisis-estilometrico-las-aguilas-de-oriente-y-martires-de-vitesco"
"Aire, tierra y mar son fuego","https://etso.es/informes/analisis-estilometrico-aire-tierra-y-mar-son-fuego"
"Al noble su sangre avisa","https://etso.es/informes/analisis-estilometrico-al-noble-su-sangre-avisa"
"Al pasar del arroyo","https://etso.es/informes/analisis-estilometrico-al-pasar-del-arroyo"
"Alameda de Sevilla, y recato en el amor, La","https://etso.es/informes/analisis-estilometrico-la-alameda-de-sevilla-y-recato-en-el-amor"
"Alba con siete soles, El","https://etso.es/informes/analisis-estilometrico-el-alba-con-siete-soles"
"Alba y el sol, El","https://etso.es/informes/analisis-estilometrico-el-alba-y-el-sol"
"Albores de la rosa, Los","https://etso.es/informes/analisis-estilometrico-los-albores-de-la-rosa"
"Albricias de Nuestra Señora, Las","https://etso.es/informes/analisis-estilometrico-las-albricias-de-nuestra-senora"
"Alcaide de Madrid, El","https://etso.es/informes/analisis-estilometrico-el-alcaide-de-madrid"
"Alcaide de sí mismo, El","https://etso.es/informes/analisis-estilometrico-alcaide-de-si-mismo-el"
"Alcalde de Zalamea, El","https://etso.es/informes/analisis-estilometrico-el-alcalde-de-zalamea"
"Alcalde de Zalamea, El","https://etso.es/informes/analisis-estilometrico-alcalde-de-zalamea-el"
"Alcalde mayor, El","https://etso.es/informes/analisis-estilometrico-el-alcalde-mayor"
"Alcázar del secreto, El","https://etso.es/informes/analisis-estilometrico-el-alcazar-del-secreto"
"Alcides de la Mancha y famoso don Quijote, El","https://etso.es/informes/analisis-estilometrico-el-alcides-de-la-mancha-y-famoso-don-quijote"
"Aldehuela, La","https://etso.es/informes/analisis-estilometrico-la-aldehuela"
"Alejandro el Segundo","https://etso.es/informes/analisis-estilometrico-alejandro-el-segundo"
"Alfeo y Aretusa","https://etso.es/informes/analisis-estilometrico-alfeo-y-aretusa"
"Alférez de Cristo, El","https://etso.es/informes/analisis-estilometrico-alferez-de-cristo-el"
"Algunas hazañas de las muchas de don García Hurtado de Mendoza, marqués de Cañete","https://etso.es/informes/analisis-estilometrico-algunas-hazanas-de-las-muchas-de-don-garcia-hurtado-de-mendoza"
"Alimentos del hombre, Los","https://etso.es/informes/analisis-estilometrico-los-alimentos-del-hombre"
"Allá darás, rayo - A firma de labios, fuerza de brazos","https://etso.es/informes/analisis-estilometrico-alla-daras-rayo-firma-de-labios-fuerza-de-brazos"
"Allá van leyes, donde quieren reyes","https://etso.es/informes/analisis-estilometrico-alla-van-leyes-donde-quieren-reyes"
"Almenas de Toro, Las","https://etso.es/informes/analisis-estilometrico-las-almenas-de-toro"
"Amadís y Niquea","https://etso.es/informes/analisis-estilometrico-amadis-y-niquea"
"Amado y aborrecido","https://etso.es/informes/analisis-estilometrico-amado-y-aborrecido"
"Amán y Mardoqueo","https://etso.es/informes/analisis-estilometrico-aman-y-mardoqueo"
"Amante agradecido, El","https://etso.es/informes/analisis-estilometrico-el-amante-agradecido"
"Amante más cruel y la amistad ya difunta, El","https://etso.es/informes/analisis-estilometrico-el-amante-mas-cruel-y-la-amistad-ya-difunta"
"Amantes de Cartago, Los","https://etso.es/informes/analisis-estilometrico-los-amantes-de-cartago"
"Amantes de Teruel, Los","https://etso.es/informes/analisis-estilometrico-los-amantes-de-teruel-0"
"Amantes de Teruel, Los","https://etso.es/informes/analisis-estilometrico-los-amantes-de-teruel"
"Amantes de Teruel, Los (Burlesca)","https://etso.es/informes/analisis-estilometrico-los-amantes-de-teruel-burlesca"
"Amantes de Verona, Los","https://etso.es/informes/analisis-estilometrico-los-amantes-de-verona"
"Amantes no vencidos, Los","https://etso.es/informes/analisis-estilometrico-los-amantes-no-vencidos"
"Amantes portugueses y querer hasta morir, Los","https://etso.es/informes/analisis-estilometrico-los-amantes-portugueses-y-querer-hasta-morir"
"Amantes sin amor, Los","https://etso.es/informes/analisis-estilometrico-los-amantes-sin-amor"
"Amantes, Los","https://etso.es/informes/analisis-estilometrico-los-amantes"
"Amar antes de nacer, la paloma dominica Santa Columba de Reati","https://etso.es/informes/analisis-estilometrico-amar-antes-de-nacer-la-paloma-dominica-santa-columba-de-reati"
"Amar como se ha de amar","https://etso.es/informes/analisis-estilometrico-amar-como-se-ha-de-amar"
"Amar después de la muerte - Tuzaní de las Alpujarras, El","https://etso.es/informes/analisis-estilometrico-amar-despues-de-la-muerte-el-tuzani-de-las-alpujarras"
"Amar es saber vencer, y el arte contra el poder","https://etso.es/informes/analisis-estilometrico-amar-es-saber-vencer-y-el-arte-contra-el-poder"
"Amar por arte mayor","https://etso.es/informes/analisis-estilometrico-amar-por-arte-mayor"
"Amar por burla","https://etso.es/informes/analisis-estilometrico-amar-por-burla"
"Amar por razón de estado","https://etso.es/informes/analisis-estilometrico-amar-por-razon-de-estado"
"Amar por señas","https://etso.es/informes/analisis-estilometrico-amar-por-senas"
"Amar sin favorecer","https://etso.es/informes/analisis-estilometrico-amar-sin-favorecer"
"Amar sin saber a quién","https://etso.es/informes/analisis-estilometrico-amar-sin-saber-quien"
"Amar sin ver","https://etso.es/informes/analisis-estilometrico-amar-sin-ver"
"Amar y no agradecer","https://etso.es/informes/analisis-estilometrico-amar-y-no-agradecer"
"Amar, servir y esperar","https://etso.es/informes/analisis-estilometrico-amar-servir-y-esperar"
"Amarilis y Adonis","https://etso.es/informes/analisis-estilometrico-amarilis-y-adonis"
"Amazonas de España y prodigio de Castilla, Las","https://etso.es/informes/analisis-estilometrico-las-amazonas-de-espana-y-prodigio-de-castilla"
"Amazonas en las Indias","https://etso.es/informes/analisis-estilometrico-amazonas-en-las-indias"
"Amazonas, Las","https://etso.es/informes/analisis-estilometrico-las-amazonas"
"Amiga más verdadera, La","https://etso.es/informes/analisis-estilometrico-la-amiga-mas-verdadera"
"Amigo hasta la muerte, El","https://etso.es/informes/analisis-estilometrico-el-amigo-hasta-la-muerte"
"Amigo por fuerza, El","https://etso.es/informes/analisis-estilometrico-el-amigo-por-fuerza"
"Amigo, amante y leal","https://etso.es/informes/analisis-estilometrico-amigo-amante-y-leal"
"Amistad castigada, La","https://etso.es/informes/analisis-estilometrico-la-amistad-castigada"
"Amistad en el peligro, La","https://etso.es/informes/analisis-estilometrico-la-amistad-en-el-peligro"
"Amistad vence al rigor, La","https://etso.es/informes/analisis-estilometrico-la-amistad-vence-al-rigor"
"Amistad y obligación","https://etso.es/informes/analisis-estilometrico-amistad-y-obligacion"
"Amor al uso, El","https://etso.es/informes/analisis-estilometrico-el-amor-al-uso"
"Amor como ha de ser, El","https://etso.es/informes/analisis-estilometrico-el-amor-como-ha-de-ser"
"Amor con valor se obliga","https://etso.es/informes/analisis-estilometrico-amor-con-valor-se-obliga"
"Amor con vista","https://etso.es/informes/analisis-estilometrico-amor-con-vista"
"Amor con vista y cordura","https://etso.es/informes/analisis-estilometrico-amor-con-vista-y-cordura"
"Amor constante, El","https://etso.es/informes/analisis-estilometrico-el-amor-constante"
"Amor convierte a las piedras","https://etso.es/informes/analisis-estilometrico-amor-convierte-las-piedras"
"Amor de razón vencido","https://etso.es/informes/analisis-estilometrico-amor-de-razon-vencido"
"Amor desafiado, El","https://etso.es/informes/analisis-estilometrico-el-amor-desafiado"
"Amor desatinado, El","https://etso.es/informes/analisis-estilometrico-el-amor-desatinado"
"Amor en vizcaíno, los celos en francés y torneos de Navarra, El","https://etso.es/informes/analisis-estilometrico-el-amor-en-vizcaino-los-celos-en-frances-y-torneos-de-navarra"
"Amor enamorado, El","https://etso.es/informes/analisis-estilometrico-el-amor-enamorado"
"Amor es más laberinto","https://etso.es/informes/analisis-estilometrico-amor-es-mas-laberinto"
"Amor es naturaleza","https://etso.es/informes/analisis-estilometrico-amor-es-naturaleza"
"Amor es sangre y no puede engañarse","https://etso.es/informes/analisis-estilometrico-amor-es-sangre-y-no-puede-enganarse"
"Amor hace hablar a los mudos, El - Amante mudo, El - Fuerza de la sangre, La","https://etso.es/informes/analisis-estilometrico-el-amor-hace-hablar-los-mudos-el-amante-mudo-la-fuerza-de-la-sangre"
"Amor hace valientes, El","https://etso.es/informes/analisis-estilometrico-el-amor-hace-valientes"
"Amor médico, El","https://etso.es/informes/analisis-estilometrico-el-amor-medico"
"Amor no teme peligros","https://etso.es/informes/analisis-estilometrico-amor-no-teme-peligros"
"Amor perseguido triunfa","https://etso.es/informes/analisis-estilometrico-amor-perseguido-triunfa"
"Amor puesto en razón, El","https://etso.es/informes/analisis-estilometrico-el-amor-puesto-en-razon"
"Amor secreto hasta celos","https://etso.es/informes/analisis-estilometrico-amor-secreto-hasta-celos"
"Amor vencido de amor","https://etso.es/informes/analisis-estilometrico-amor-vencido-de-amor"
"Amor y celos hacen discretos","https://etso.es/informes/analisis-estilometrico-amor-y-celos-hacen-discretos"
"Amor y el amistad, El","https://etso.es/informes/analisis-estilometrico-el-amor-y-el-amistad"
"Amor y Filotea","https://etso.es/informes/analisis-estilometrico-amor-y-filotea"
"Amor y honor","https://etso.es/informes/analisis-estilometrico-amor-y-honor"
"Amor y obligación","https://etso.es/informes/analisis-estilometrico-amor-y-obligacion-0"
"Amor y obligación","https://etso.es/informes/analisis-estilometrico-amor-y-obligacion"
"Amor, astucia, y valor","https://etso.es/informes/analisis-estilometrico-amor-astucia-y-valor"
"Amor, honor y poder","https://etso.es/informes/analisis-estilometrico-amor-honor-y-poder"
"Amor, ingenio y mujer","https://etso.es/informes/analisis-estilometrico-amor-ingenio-y-mujer"
"Amor, ingenio y mujer y discreta venganza, El (Burlesca)","https://etso.es/informes/analisis-estilometrico-el-amor-ingenio-y-mujer-y-discreta-venganza-burlesca"
"Amor, lealtad y amistad","https://etso.es/informes/analisis-estilometrico-amor-lealtad-y-amistad"
"Amor, pleito y desafío","https://etso.es/informes/analisis-estilometrico-amor-pleito-y-desafio"
"Amor, privanza y castigo","https://etso.es/informes/analisis-estilometrico-amor-privanza-y-castigo"
"Amores de Albanio y Ismenia, Los","https://etso.es/informes/analisis-estilometrico-los-amores-de-albanio-y-ismenia"
"Amores del príncipe de Tiro y duquesa de Cantabria, Los","https://etso.es/informes/analisis-estilometrico-los-amores-del-principe-de-tiro-y-duquesa-de-cantabria"
"Amparado de Dios, El","https://etso.es/informes/analisis-estilometrico-el-amparado-de-dios"
"Amparar al enemigo","https://etso.es/informes/analisis-estilometrico-amparar-al-enemigo"
"Amparar su propio agravio","https://etso.es/informes/analisis-estilometrico-amparar-su-propio-agravio"
"Amparo de los hombres, El","https://etso.es/informes/analisis-estilometrico-el-amparo-de-los-hombres"
"Añasco el de Talavera","https://etso.es/informes/analisis-estilometrico-anasco-el-de-talavera"
"Andrómeda y Perseo","https://etso.es/informes/analisis-estilometrico-andromeda-y-perseo"
"Ángel de la guarda, El","https://etso.es/informes/analisis-estilometrico-el-angel-de-la-guarda-0"
"Ángel de las escuelas, Santo Tomás de Aquino, El","https://etso.es/informes/analisis-estilometrico-el-angel-de-las-escuelas-santo-tomas-de-aquino"
"Ángel, lego, y pastor, San Pascual bailón","https://etso.es/informes/analisis-estilometrico-angel-lego-y-pastor-san-pascual-bailon"
"Ángeles encontrados, Los","https://etso.es/informes/analisis-estilometrico-los-angeles-encontrados"
"Angélica en el Catay","https://etso.es/informes/analisis-estilometrico-angelica-en-el-catay"
"Anillo de Giges, El (Primera parte)","https://etso.es/informes/analisis-estilometrico-el-anillo-de-giges-primera-parte"
"Anillo de Giges, El (Segunda parte)","https://etso.es/informes/analisis-estilometrico-el-anillo-de-giges-segunda-parte"
"Anillo de Giges, El (Tercera parte)","https://etso.es/informes/analisis-estilometrico-el-anillo-de-giges-tercera-parte"
"Animal de Hungría, El","https://etso.es/informes/analisis-estilometrico-el-animal-de-hungria"
"Animal profeta, El","https://etso.es/informes/analisis-estilometrico-el-animal-profeta"
"Año santo de Roma, El","https://etso.es/informes/analisis-estilometrico-el-ano-santo-de-roma"
"Año santo en Madrid, El","https://etso.es/informes/analisis-estilometrico-el-ano-santo-en-madrid"
"Antecristo, El","https://etso.es/informes/analisis-estilometrico-el-antecristo"
"Antes morir que pecar: San Casimiro","https://etso.es/informes/analisis-estilometrico-antes-morir-que-pecar-san-casimiro"
"Antes que todo es mi amigo","https://etso.es/informes/analisis-estilometrico-antes-que-todo-es-mi-amigo"
"Antes que todo es mi dama","https://etso.es/informes/analisis-estilometrico-antes-que-todo-es-mi-dama"
"Anticristo, El","https://etso.es/informes/analisis-estilometrico-el-anticristo"
"Antídotos de la gracia contra infernales y venenos, María Santísima de la Novena","https://etso.es/informes/analisis-estilometrico-antidotos-de-la-gracia-contra-infernales-y-venenos-maria-santisima"
"Antíoco y Seleuco","https://etso.es/informes/analisis-estilometrico-antioco-y-seleuco"
"Antona García","https://etso.es/informes/analisis-estilometrico-antona-garcia"
"Antonio de Prado","https://etso.es/informes/analisis-estilometrico-antonio-de-prado"
"Antonio Roca","https://etso.es/informes/analisis-estilometrico-antonio-roca-0"
"Antonio Roca","https://etso.es/informes/analisis-estilometrico-antonio-roca"
"Anzuelo de Fenisa, El","https://etso.es/informes/analisis-estilometrico-el-anzuelo-de-fenisa"
"Apolo y Clímene","https://etso.es/informes/analisis-estilometrico-apolo-y-climene"
"Apóstol de Grecia, San Andrés, El","https://etso.es/informes/analisis-estilometrico-el-apostol-de-grecia-san-andres"
"Apóstol de Salamanca, El","https://etso.es/informes/analisis-estilometrico-el-apostol-de-salamanca"
"Aquilana","https://etso.es/informes/analisis-estilometrico-aquilana"
"Aquiles, El","https://etso.es/informes/analisis-estilometrico-el-aquiles"
"Araspas y Plantea","https://etso.es/informes/analisis-estilometrico-araspas-y-plantea"
"Araucana, La","https://etso.es/informes/analisis-estilometrico-la-araucana"
"Arauco domado, El","https://etso.es/informes/analisis-estilometrico-el-arauco-domado"
"Árbol de la gracia, El","https://etso.es/informes/analisis-estilometrico-el-arbol-de-la-gracia"
"Árbol del mejor fruto, El","https://etso.es/informes/analisis-estilometrico-el-arbol-del-mejor-fruto"
"Árbol del mejor fruto, El","https://etso.es/informes/analisis-estilometrico-el-arbol-del-mejor-fruto-0"
"Arca de Dios cautiva, El","https://etso.es/informes/analisis-estilometrico-el-arca-de-dios-cautiva"
"Arca de Noé, El","https://etso.es/informes/analisis-estilometrico-el-arca-de-noe-0"
"Arca de Noé, El","https://etso.es/informes/analisis-estilometrico-el-arca-de-noe"
"Arcadia en Belén y amor el mayor hechizo","https://etso.es/informes/analisis-estilometrico-arcadia-en-belen-y-amor-el-mayor-hechizo"
"Arcadia, La","https://etso.es/informes/analisis-estilometrico-la-arcadia"
"Arco de paz del cielo, El","https://etso.es/informes/analisis-estilometrico-el-arco-de-paz-del-cielo"
"Ardiente espada, La","https://etso.es/informes/analisis-estilometrico-la-ardiente-espada"
"Arenal de Sevilla, El","https://etso.es/informes/analisis-estilometrico-el-arenal-de-sevilla"
"Argel fingido y renegado de amor, El","https://etso.es/informes/analisis-estilometrico-el-argel-fingido-y-renegado-de-amor"
"Argenis y Poliarco","https://etso.es/informes/analisis-estilometrico-argenis-y-poliarco"
"Aristómenes Mesenio - Por el esfuerzo la dicha","https://etso.es/informes/analisis-estilometrico-aristomenes-mesenio-por-el-esfuerzo-la-dicha"
"Armas de la hermosura, Las","https://etso.es/informes/analisis-estilometrico-armas-de-la-hermosura-las"
"Armengoles, Los (Primera parte)","https://etso.es/informes/analisis-estilometrico-los-armengoles-primera-parte"
"Armengoles, Los (Segunda parte)","https://etso.es/informes/analisis-estilometrico-los-armengoles-segunda-parte"
"Arminda celosa","https://etso.es/informes/analisis-estilometrico-arminda-celosa"
"Arpa de David, El","https://etso.es/informes/analisis-estilometrico-el-arpa-de-david"
"Asalto de Mastrique, por el príncipe de Parma, El","https://etso.es/informes/analisis-estilometrico-el-asalto-de-mastrique-por-el-principe-de-parma"
"Asombro de Jerez, Juana la Rabicortona, El (Primera parte)","https://etso.es/informes/analisis-estilometrico-el-asombro-de-jerez-juana-la-rabicortona-primera-parte"
"Asombro de Jerez, Juana la Rabicortona, El (Segunda parte)","https://etso.es/informes/analisis-estilometrico-el-asombro-de-jerez-juana-la-rabicortona-segunda-parte"
"Asombro de la Italia y vida de la venerable Clara de Agolancia","https://etso.es/informes/analisis-estilometrico-el-asombro-de-la-italia-y-vida-de-la-venerable-clara-de-agolancia"
"Asombro de Turquía y valiente toledano, El","https://etso.es/informes/analisis-estilometrico-el-asombro-de-turquia-y-valiente-toledano"
"Áspides de Cleopatra, Los","https://etso.es/informes/analisis-estilometrico-los-aspides-de-cleopatra"
"Áspides hay basiliscos","https://etso.es/informes/analisis-estilometrico-aspides-hay-basiliscos"
"Astrólogo fingido (Versión corta), El","https://etso.es/informes/analisis-estilometrico-el-astrologo-fingido-version-corta"
"Astrólogo fingido (versión larga), El","https://etso.es/informes/analisis-estilometrico-el-astrologo-fingido-version-larga"
"Astucias de Luzbel contra las divinas profecias, Las","https://etso.es/informes/analisis-estilometrico-astucias-de-luzbel-contra-las-divinas-profecias-las"
"Asunción de Nuestra Señora, La","https://etso.es/informes/analisis-estilometrico-la-asuncion-de-nuestra-senora"
"Atalanta, La","https://etso.es/informes/analisis-estilometrico-la-atalanta"
"Ataúd para el vivo y el tálamo para el muerto, El","https://etso.es/informes/analisis-estilometrico-el-ataud-para-el-vivo-y-el-talamo-para-el-muerto"
"Atila furioso","https://etso.es/informes/analisis-estilometrico-atila-furioso"
"Atila, azote de Dios","https://etso.es/informes/analisis-estilometrico-atila-azote-de-dios"
"Audiencias del rey don Pedro","https://etso.es/informes/analisis-estilometrico-audiencias-del-rey-don-pedro"
"Aún de noche alumbra el sol","https://etso.es/informes/analisis-estilometrico-aun-de-noche-alumbra-el-sol"
"Aun vencido, vence amor o el Prometeo","https://etso.es/informes/analisis-estilometrico-aun-vencido-vence-amor-o-el-prometeo"
"Auristela y Lisidante","https://etso.es/informes/analisis-estilometrico-auristela-y-lisidante"
"Aurora de la Rioja, Nuestra Señora de Valvanera, La","https://etso.es/informes/analisis-estilometrico-la-aurora-de-la-rioja-nuestra-senora-de-valvanera"
"Aurora del sol divino, La","https://etso.es/informes/analisis-estilometrico-la-aurora-del-sol-divino"
"Aurora en Copacabana, La","https://etso.es/informes/analisis-estilometrico-la-aurora-en-copacabana"
"Auroras de Sevilla, Las","https://etso.es/informes/analisis-estilometrico-las-auroras-de-sevilla"
"Ausente en el lugar, El","https://etso.es/informes/analisis-estilometrico-el-ausente-en-el-lugar"
"Austria en Jerusalén, El","https://etso.es/informes/analisis-estilometrico-el-austria-en-jerusalen"
"Auto Sacramental (Emp: Por la verde maleza)","https://etso.es/informes/analisis-estilometrico-auto-sacramental-otro"
"Auto Sacramental (Emp: Ya se despedía el mayo)","https://etso.es/informes/analisis-estilometrico-auto-sacramental"
"Aventuras de Grecia, Las","https://etso.es/informes/analisis-estilometrico-las-aventuras-de-grecia"
"Aventuras del alma, Las","https://etso.es/informes/analisis-estilometrico-las-aventuras-del-alma"
"Aventuras del hombre, Las","https://etso.es/informes/analisis-estilometrico-las-aventuras-del-hombre"
"Averígüelo, Vargas","https://etso.es/informes/analisis-estilometrico-averiguelo-vargas"
"Ay, verdades que en amor…!","https://etso.es/informes/analisis-estilometrico-ay-verdades-que-en-amor"
"Ayas Telamón","https://etso.es/informes/analisis-estilometrico-ayas-telamon"
"Ayo de su hijo, El","https://etso.es/informes/analisis-estilometrico-el-ayo-de-su-hijo"
"Ayudar con los estorbos","https://etso.es/informes/analisis-estilometrico-ayudar-con-los-estorbos"
"Azucena de Etiopía, La - Luces de la aurora","https://etso.es/informes/analisis-estilometrico-la-azucena-de-etiopia-luces-de-la-aurora"
"Babilonia de amor","https://etso.es/informes/analisis-estilometrico-babilonia-de-amor"
"Baile de los oficios, El","https://etso.es/informes/analisis-estilometrico-el-baile-de-los-oficios"
"Balcones de Madrid, Los","https://etso.es/informes/analisis-estilometrico-los-balcones-de-madrid"
"Baltasara, La","https://etso.es/informes/analisis-estilometrico-la-baltasara"
"Banda de Castilla y duelo contra sí mismo, La","https://etso.es/informes/analisis-estilometrico-la-banda-de-castilla-y-duelo-contra-si-mismo"
"Banda y la flor, La","https://etso.es/informes/analisis-estilometrico-banda-y-la-flor-la"
"Bandolera de Baeza y peligro de alabarse, La","https://etso.es/informes/analisis-estilometrico-la-bandolera-de-baeza-y-peligro-de-alabarse"
"Bandolera de Italia, La","https://etso.es/informes/analisis-estilometrico-la-bandolera-de-italia"
"Bandolero de Flandes, El","https://etso.es/informes/analisis-estilometrico-el-bandolero-de-flandes"
"Bandolero Sol Posto, El","https://etso.es/informes/analisis-estilometrico-el-bandolero-sol-posto"
"Bandos de Luca y Pisa, Los","https://etso.es/informes/analisis-estilometrico-los-bandos-de-luca-y-pisa"
"Bandos de Rávena y la fundación de la camándula, Los","https://etso.es/informes/analisis-estilometrico-los-bandos-de-ravena-y-la-fundacion-de-la-camandula"
"Bandos de Sena, Los","https://etso.es/informes/analisis-estilometrico-los-bandos-de-sena"
"Bandos de Verona, Los","https://etso.es/informes/analisis-estilometrico-los-bandos-de-verona"
